State,County,Year,Month,prcp
California,Alameda,1983,1,174.47901916503906
California,Alameda,1983,2,157.25033569335938
California,Alameda,1983,3,193.77145385742188
California,Alameda,1983,4,88.6110610961914
California,Alameda,1983,5,6.977845668792725
California,Alameda,1983,6,0.0
California,Alameda,1983,7,0.0
California,Alameda,1983,8,6.6102986335754395
California,Alameda,1983,9,26.215696334838867
California,Alameda,1983,10,10.113581657409668
California,Alameda,1983,11,170.2198486328125
California,Alameda,1983,12,121.36678314208984
