State,County,Year,Month,prcp,tmax,tmin
California,Napa,1980,3,59.42444610595703,,
California,Nevada,1980,3,125.57353973388672,,
California,Orange,1980,3,98.65067291259766,,
California,Placer,1980,3,116.48848724365234,,
California,Plumas,1980,3,79.76310729980469,,
California,Riverside,1980,3,54.328556060791016,,
California,Sacramento,1980,3,63.894508361816406,,
California,San Benito,1980,3,56.19047546386719,,
California,San Bernardino,1980,3,43.574283599853516,,
California,San Diego,1980,3,105.71788024902344,,
California,San Francisco,1980,3,58.91252517700195,,
California,San Joaquin,1980,3,36.40030288696289,,
California,San Luis Obispo,1980,3,81.50358581542969,,
California,San Mateo,1980,3,61.831172943115234,,
California,Santa Barbara,1980,3,85.27652740478516,,
California,Santa Clara,1980,3,51.09577941894531,,
California,Santa Cruz,1980,3,65.15776824951172,,
California,Shasta,1980,3,97.37848663330078,,
California,Sierra,1980,3,107.5540771484375,,
California,Siskiyou,1980,3,83.2880630493164,,
California,Solano,1980,3,72.6832275390625,,
California,Sonoma,1980,3,65.17259216308594,,
California,Stanislaus,1980,3,34.27234649658203,,
California,Sutter,1980,3,52.22934341430664,,
California,Tehama,1980,3,65.35480499267578,,
California,Trinity,1980,3,109.69642639160156,,
California,Tulare,1980,3,106.36248016357422,,
California,Tuolumne,1980,3,96.13308715820312,,
California,Ventura,1980,3,100.65827941894531,,
California,Yolo,1980,3,55.97496032714844,,
California,Yuba,1980,3,75.5760269165039,,
California,Alameda,1980,4,35.52078628540039,,
California,Alpine,1980,4,67.6827621459961,,
California,Amador,1980,4,63.904869079589844,,
California,Butte,1980,4,64.8084487915039,,
California,Calaveras,1980,4,66.14508056640625,,
California,Colusa,1980,4,24.35785675048828,,
California,Contra Costa,1980,4,37.23916244506836,,
California,Del Norte,1980,4,194.8036346435547,,
California,El Dorado,1980,4,80.05838775634766,,
California,Fresno,1980,4,27.530363082885742,,
California,Glenn,1980,4,30.86506462097168,,
California,Humboldt,1980,4,133.5772247314453,,
California,Imperial,1980,4,5.041274070739746,,
California,Inyo,1980,4,25.97208595275879,,
California,Kern,1980,4,25.850460052490234,,
California,Kings,1980,4,8.968628883361816,,
California,Lake,1980,4,64.76775360107422,,
California,Lassen,1980,4,26.314178466796875,,
California,Los Angeles,1980,4,17.039705276489258,,
California,Madera,1980,4,34.792518615722656,,
California,Marin,1980,4,81.39818572998047,,
California,Mariposa,1980,4,52.16351318359375,,
California,Mendocino,1980,4,110.9847183227539,,
California,Merced,1980,4,20.9285945892334,,
California,Modoc,1980,4,27.33420181274414,,
California,Mono,1980,4,24.25393295288086,,
California,Monterey,1980,4,56.308815002441406,,
California,Napa,1980,4,42.66148376464844,,
California,Nevada,1980,4,83.15223693847656,,
California,Orange,1980,4,11.564722061157227,,
California,Placer,1980,4,78.65338897705078,,
California,Plumas,1980,4,59.19721221923828,,
California,Riverside,1980,4,13.605379104614258,,
California,Sacramento,1980,4,34.70244216918945,,
California,San Benito,1980,4,39.05894088745117,,
California,San Bernardino,1980,4,15.360112190246582,,
California,San Diego,1980,4,44.663917541503906,,
California,San Francisco,1980,4,39.54104232788086,,
California,San Joaquin,1980,4,29.893680572509766,,
California,San Luis Obispo,1980,4,34.934810638427734,,
California,San Mateo,1980,4,54.430511474609375,,
California,Santa Barbara,1980,4,33.49380874633789,,
California,Santa Clara,1980,4,48.946434020996094,,
California,Santa Cruz,1980,4,69.19135284423828,,
California,Shasta,1980,4,79.67198944091797,,
California,Sierra,1980,4,65.43252563476562,,
California,Siskiyou,1980,4,75.86595153808594,,
California,Solano,1980,4,33.040130615234375,,
California,Sonoma,1980,4,86.2078628540039,,
California,Stanislaus,1980,4,27.068859100341797,,
California,Sutter,1980,4,21.02231216430664,,
California,Tehama,1980,4,59.87569046020508,,
California,Trinity,1980,4,91.42098236083984,,
California,Tulare,1980,4,47.011409759521484,,
California,Tuolumne,1980,4,67.4815673828125,,
California,Ventura,1980,4,22.214885711669922,,
California,Yolo,1980,4,27.65598487854004,,
California,Yuba,1980,4,38.84865951538086,,
California,Alameda,1980,5,6.847433567047119,,
California,Alpine,1980,5,48.27581787109375,,
California,Amador,1980,5,36.457584381103516,,
California,Butte,1980,5,35.63785171508789,,
California,Calaveras,1980,5,36.09037780761719,,
California,Colusa,1980,5,10.224157333374023,,
California,Contra Costa,1980,5,8.245028495788574,,
California,Del Norte,1980,5,65.77005767822266,,
California,El Dorado,1980,5,45.525917053222656,,
California,Fresno,1980,5,20.071775436401367,,
California,Glenn,1980,5,17.399017333984375,,
California,Humboldt,1980,5,52.263206481933594,,
California,Imperial,1980,5,2.3150956630706787,,
California,Inyo,1980,5,12.099605560302734,,
California,Kern,1980,5,6.313102722167969,,
California,Kings,1980,5,2.559722423553467,,
California,Lake,1980,5,14.012765884399414,,
California,Lassen,1980,5,50.7965202331543,,
California,Los Angeles,1980,5,14.5139799118042,,
California,Madera,1980,5,25.71563720703125,,
California,Marin,1980,5,11.575736045837402,,
California,Mariposa,1980,5,37.8071403503418,,
California,Mendocino,1980,5,21.271535873413086,,
California,Merced,1980,5,11.50853443145752,,
California,Modoc,1980,5,46.412506103515625,,
California,Mono,1980,5,29.653331756591797,,
California,Monterey,1980,5,13.717780113220215,,
California,Napa,1980,5,9.232098579406738,,
California,Nevada,1980,5,63.71871566772461,,
California,Orange,1980,5,4.676016807556152,,
California,Placer,1980,5,48.469295501708984,,
California,Plumas,1980,5,53.14078903198242,,
California,Riverside,1980,5,9.152338981628418,,
California,Sacramento,1980,5,12.194540023803711,,
California,San Benito,1980,5,11.614036560058594,,
California,San Bernardino,1980,5,6.8319549560546875,,
California,San Diego,1980,5,25.614723205566406,,
California,San Francisco,1980,5,6.994260787963867,,
California,San Joaquin,1980,5,9.673757553100586,,
California,San Luis Obispo,1980,5,13.674880981445312,,
California,San Mateo,1980,5,11.261866569519043,,
California,Santa Barbara,1980,5,7.713186740875244,,
California,Santa Clara,1980,5,10.688096046447754,,
California,Santa Cruz,1980,5,18.63902473449707,,
California,Shasta,1980,5,42.84773635864258,,
California,Sierra,1980,5,65.07074737548828,,
California,Siskiyou,1980,5,25.032756805419922,,
California,Solano,1980,5,9.886354446411133,,
California,Sonoma,1980,5,10.240180015563965,,
California,Stanislaus,1980,5,11.173600196838379,,
California,Sutter,1980,5,11.612305641174316,,
California,Tehama,1980,5,36.120967864990234,,
California,Trinity,1980,5,28.315481185913086,,
California,Tulare,1980,5,24.05996322631836,,
California,Tuolumne,1980,5,52.22278594970703,,
California,Ventura,1980,5,6.917508125305176,,
California,Yolo,1980,5,6.554712295532227,,
California,Yuba,1980,5,30.30620002746582,,
California,Alameda,1980,6,0.12645234167575836,,
California,Alpine,1980,6,12.57890510559082,,
California,Amador,1980,6,10.566492080688477,,
California,Butte,1980,6,17.96406364440918,,
California,Calaveras,1980,6,7.143874645233154,,
California,Colusa,1980,6,6.591264724731445,,
California,Contra Costa,1980,6,0.39952895045280457,,
California,Del Norte,1980,6,30.614322662353516,,
California,El Dorado,1980,6,16.19759178161621,,
California,Fresno,1980,6,0.13759635388851166,,
California,Glenn,1980,6,18.007205963134766,,
California,Humboldt,1980,6,12.507246971130371,,
California,Imperial,1980,6,0.0,,
California,Inyo,1980,6,2.513624429702759,,
California,Kern,1980,6,0.0025282364804297686,,
California,Kings,1980,6,0.0,,
California,Lake,1980,6,9.225885391235352,,
California,Lassen,1980,6,39.91093063354492,,
California,Los Angeles,1980,6,0.0,,
California,Madera,1980,6,0.11725958436727524,,
California,Marin,1980,6,6.59307861328125,,
California,Mariposa,1980,6,0.5449223518371582,,
California,Mendocino,1980,6,5.353167533874512,,
California,Merced,1980,6,0.0,,
California,Modoc,1980,6,37.522464752197266,,
California,Mono,1980,6,0.14102230966091156,,
California,Monterey,1980,6,0.5434433817863464,,
California,Napa,1980,6,3.35351824760437,,
California,Nevada,1980,6,14.350356101989746,,
California,Orange,1980,6,0.0,,
California,Placer,1980,6,12.127532005310059,,
California,Plumas,1980,6,21.1152286529541,,
California,Riverside,1980,6,1.5891605615615845,,
California,Sacramento,1980,6,0.7240297794342041,,
California,San Benito,1980,6,0.15826204419136047,,
California,San Bernardino,1980,6,1.6293641328811646,,
California,San Diego,1980,6,0.0040135858580470085,,
California,San Francisco,1980,6,2.0856521129608154,,
California,San Joaquin,1980,6,0.0,,
California,San Luis Obispo,1980,6,0.0,,
California,San Mateo,1980,6,2.166548490524292,,
California,Santa Barbara,1980,6,0.0,,
California,Santa Clara,1980,6,0.20934049785137177,,
California,Santa Cruz,1980,6,3.517634630203247,,
California,Shasta,1980,6,42.27238082885742,,
California,Sierra,1980,6,14.484397888183594,,
California,Siskiyou,1980,6,47.5456428527832,,
California,Solano,1980,6,0.48414719104766846,,
California,Sonoma,1980,6,9.615326881408691,,
California,Stanislaus,1980,6,0.13885490596294403,,
California,Sutter,1980,6,5.1397576332092285,,
California,Tehama,1980,6,28.0516300201416,,
California,Trinity,1980,6,21.264463424682617,,
California,Tulare,1980,6,0.0,,
California,Tuolumne,1980,6,5.5471601486206055,,
California,Ventura,1980,6,0.0,,
California,Yolo,1980,6,1.8199337720870972,,
California,Yuba,1980,6,7.694448947906494,,
California,Alameda,1980,7,13.639915466308594,,
California,Alpine,1980,7,15.163877487182617,,
California,Amador,1980,7,26.80933380126953,,
California,Butte,1980,7,6.91262149810791,,
California,Calaveras,1980,7,16.378498077392578,,
California,Colusa,1980,7,0.6150581240653992,,
California,Contra Costa,1980,7,10.769136428833008,,
California,Del Norte,1980,7,0.0,,
California,El Dorado,1980,7,29.78248405456543,,
California,Fresno,1980,7,0.7546142339706421,,
California,Glenn,1980,7,0.048665814101696014,,
California,Humboldt,1980,7,0.0,,
California,Imperial,1980,7,0.5505993366241455,,
California,Inyo,1980,7,6.054506301879883,,
California,Kern,1980,7,0.05036132037639618,,
California,Kings,1980,7,0.2512899339199066,,
California,Lake,1980,7,0.011335453949868679,,
California,Lassen,1980,7,18.54258155822754,,
California,Los Angeles,1980,7,0.039271656423807144,,
California,Madera,1980,7,0.4251231253147125,,
California,Marin,1980,7,1.5573269128799438,,
California,Mariposa,1980,7,1.5426164865493774,,
California,Mendocino,1980,7,0.0,,
California,Merced,1980,7,2.2192955017089844,,
California,Modoc,1980,7,8.309770584106445,,
California,Mono,1980,7,2.6451315879821777,,
California,Monterey,1980,7,17.0267333984375,,
California,Napa,1980,7,3.292760133743286,,
California,Nevada,1980,7,22.58123779296875,,
California,Orange,1980,7,0.0,,
California,Placer,1980,7,27.731136322021484,,
California,Plumas,1980,7,17.48110580444336,,
California,Riverside,1980,7,0.0003917024878319353,,
California,Sacramento,1980,7,15.070008277893066,,
California,San Benito,1980,7,9.695235252380371,,
California,San Bernardino,1980,7,8.041011810302734,,
California,San Diego,1980,7,0.19685687124729156,,
California,San Francisco,1980,7,2.1411304473876953,,
California,San Joaquin,1980,7,17.512876510620117,,
California,San Luis Obispo,1980,7,5.013030052185059,,
California,San Mateo,1980,7,4.721977710723877,,
California,Santa Barbara,1980,7,1.7700315713882446,,
California,Santa Clara,1980,7,16.710935592651367,,
California,Santa Cruz,1980,7,15.334572792053223,,
California,Shasta,1980,7,2.960702657699585,,
California,Sierra,1980,7,19.001054763793945,,
California,Siskiyou,1980,7,0.35233476758003235,,
California,Solano,1980,7,6.436037540435791,,
California,Sonoma,1980,7,0.5117667317390442,,
California,Stanislaus,1980,7,8.727526664733887,,
California,Sutter,1980,7,3.369875431060791,,
California,Tehama,1980,7,2.2346997261047363,,
California,Trinity,1980,7,0.0,,
California,Tulare,1980,7,0.029544079676270485,,
California,Tuolumne,1980,7,6.348209381103516,,
California,Ventura,1980,7,0.03567403927445412,,
California,Yolo,1980,7,3.8098011016845703,,
