State,County,Year,tmax
California,Alameda,1981,21.47463035583496
California,Alpine,1981,13.391544342041016
California,Alameda,1982,19.724464416503906
California,Alpine,1982,10.75760269165039
California,Alameda,1983,20.47024154663086
California,Alpine,1983,10.709924697875977
